,FechaFactura,IDArticulo,Cantidad,PrecioVenta,Nombre
0,2022-01-02,1,1,1159,"Gigabyte AORUS 7 KB-7ES1130SD Intel Core i7-10750H/16GB/512GB SSD/RTX2060/17.3"""
1,2022-01-03,2,1,299,"Samsung Chromebook 4 XE310XBA-K01ES Intel Celeron N4000/4GB/32GB eMMC/11.6"""
2,2022-01-03,3,1,1181,"Asus TUF Gaming F15 FX506LH-BQ116 Intel Core i7-10870H/16GB/1TB SSD/GTX1650/15.6"""
3,2022-01-05,1,2,2318,"Gigabyte AORUS 7 KB-7ES1130SD Intel Core i7-10750H/16GB/512GB SSD/RTX2060/17.3"""
4,2022-01-05,2,2,299,"Samsung Chromebook 4 XE310XBA-K01ES Intel Celeron N4000/4GB/32GB eMMC/11.6"""
5,2022-01-05,3,1,1181,"Asus TUF Gaming F15 FX506LH-BQ116 Intel Core i7-10870H/16GB/1TB SSD/GTX1650/15.6"""
6,2022-01-05,4,1,139,"Lenovo Tab M10 10.1"" HD 2/32GB Negra"
7,2022-01-06,1,2,2318,"Gigabyte AORUS 7 KB-7ES1130SD Intel Core i7-10750H/16GB/512GB SSD/RTX2060/17.3"""
8,2022-01-09,2,1,299,"Samsung Chromebook 4 XE310XBA-K01ES Intel Celeron N4000/4GB/32GB eMMC/11.6"""
9,2022-01-09,5,1,199,"Samsung Galaxy Tab A7 10.4"" 32GB Wifi Plata"
10,2022-01-10,1,3,3477,"Gigabyte AORUS 7 KB-7ES1130SD Intel Core i7-10750H/16GB/512GB SSD/RTX2060/17.3"""
11,2022-01-10,2,2,598,"Samsung Chromebook 4 XE310XBA-K01ES Intel Celeron N4000/4GB/32GB eMMC/11.6"""
12,2022-01-10,3,3,2362,"Asus TUF Gaming F15 FX506LH-BQ116 Intel Core i7-10870H/16GB/1TB SSD/GTX1650/15.6"""
13,2022-01-10,4,6,278,"Lenovo Tab M10 10.1"" HD 2/32GB Negra"
14,2022-01-11,1,1,1159,"Gigabyte AORUS 7 KB-7ES1130SD Intel Core i7-10750H/16GB/512GB SSD/RTX2060/17.3"""
15,2022-01-11,2,1,299,"Samsung Chromebook 4 XE310XBA-K01ES Intel Celeron N4000/4GB/32GB eMMC/11.6"""
16,2022-01-11,5,1,199,"Samsung Galaxy Tab A7 10.4"" 32GB Wifi Plata"
17,2022-01-12,2,2,598,"Samsung Chromebook 4 XE310XBA-K01ES Intel Celeron N4000/4GB/32GB eMMC/11.6"""
18,2022-01-12,4,3,417,"Lenovo Tab M10 10.1"" HD 2/32GB Negra"
19,2022-01-12,5,1,199,"Samsung Galaxy Tab A7 10.4"" 32GB Wifi Plata"
20,2022-01-13,1,8,4636,"Gigabyte AORUS 7 KB-7ES1130SD Intel Core i7-10750H/16GB/512GB SSD/RTX2060/17.3"""
21,2022-01-13,2,4,1196,"Samsung Chromebook 4 XE310XBA-K01ES Intel Celeron N4000/4GB/32GB eMMC/11.6"""
22,2022-01-13,5,4,796,"Samsung Galaxy Tab A7 10.4"" 32GB Wifi Plata"
23,2022-01-14,1,3,3477,"Gigabyte AORUS 7 KB-7ES1130SD Intel Core i7-10750H/16GB/512GB SSD/RTX2060/17.3"""
24,2022-01-14,2,2,598,"Samsung Chromebook 4 XE310XBA-K01ES Intel Celeron N4000/4GB/32GB eMMC/11.6"""
25,2022-01-14,3,2,2362,"Asus TUF Gaming F15 FX506LH-BQ116 Intel Core i7-10870H/16GB/1TB SSD/GTX1650/15.6"""
26,2022-01-14,5,2,398,"Samsung Galaxy Tab A7 10.4"" 32GB Wifi Plata"
27,2022-01-16,1,5,5795,"Gigabyte AORUS 7 KB-7ES1130SD Intel Core i7-10750H/16GB/512GB SSD/RTX2060/17.3"""
28,2022-01-16,2,4,1196,"Samsung Chromebook 4 XE310XBA-K01ES Intel Celeron N4000/4GB/32GB eMMC/11.6"""
29,2022-01-16,3,2,2362,"Asus TUF Gaming F15 FX506LH-BQ116 Intel Core i7-10870H/16GB/1TB SSD/GTX1650/15.6"""
30,2022-01-16,4,4,556,"Lenovo Tab M10 10.1"" HD 2/32GB Negra"
31,2022-01-16,5,5,597,"Samsung Galaxy Tab A7 10.4"" 32GB Wifi Plata"
